ListingId	ListingDate	SaleDate	SaleAmount	Slug
176240635	2019-01-13 21:26:48	2020-04-23	$610,000	24-30-blackall-street-barton-canberra-176240635
176270299	2019-01-14 22:13:09	2020-05-13	$364,000	20-115-canberra-avenue-griffith-canberra-176270299
176269093	2019-01-14 23:46:41	2020-02-25	By Negotiation	5-93-burrinjuck-crescent-duffy-canberra-176269093
176289336	2019-01-23 23:43:39	2020-02-28	$198,000	4-the-pines-avenue-symonston-canberra-176289336
176300395	2019-01-24 11:49:01	2020-04-15	$887,000	6-erdos-street-bruce-canberra-176300395
176348796	2019-02-01 08:04:59	2020-03-23	$385,000	15-nethercote-street-taylor-canberra-176348796
176351704	2019-02-04 02:31:36	2020-05-06	$380,000	13-141-mapleton-ave-harrison-canberra-176351704
176369958	2019-02-07 02:01:01	2020-04-15	$713,000	12-a-dale-circuit-kambah-canberra-176369958
176375039	2019-02-11 23:57:36	2020-04-03	$900,000	13-rusden-place-garran-canberra-176375039
176381640	2019-02-12 00:00:17	2020-04-03	$750,000	7-brinsmead-street-pearce-canberra-176381640
176383108	2019-02-12 00:01:25	2020-02-28	$650,000	5-pendred-street-pearce-canberra-176383108
176382564	2019-02-12 00:03:38	2020-02-24	$852,500	36-hawker-street-torrens-canberra-176382564
176381642	2019-02-12 00:05:05	2000-01-01	$595,000	35-meldrum-street-weston-canberra-176381642
176416107	2019-02-18 23:34:58	2020-06-12	$335,000	33-1-mouat-street-lyneham-canberra-176416107
176432578	2019-02-21 10:55:33	2020-02-28	$635,000	no-street-name-provided-bonner-canberra-176432578
178068374	2019-02-25 01:51:26	2020-03-16	$565,900	essence-unit-13-3-3-bed-apartment-greenway-canberra-178068374
176451437	2019-02-27 00:10:24	2020-03-06	$2,750,000	39-empire-circuit-forrest-canberra-176451437
176453120	2019-02-27 05:21:10	2020-03-29	$365,000	30-37-redruth-street-crace-canberra-176453120
176457246	2019-02-27 22:52:05	2020-03-03	$1,430,000	57-cunningham-street-kingston-canberra-176457246
176435552	2019-02-28 00:38:16	2000-01-01	$605,000	7-1-rouseabout-street-lawson-canberra-176435552
176458281	2019-02-28 02:41:44	2020-04-07	$610,000	no-street-name-provided-crace-canberra-176458281
176461854	2019-02-28 14:23:25	2020-08-19	$1,100,000	145-samaria-street-crace-canberra-176461854
176482179	2019-03-06 01:51:02	2020-11-23	$440,000	4-shewcroft-street-watson-canberra-176482179
176539292	2019-03-20 01:02:02	2020-06-11	$575,000	78-43-eastlake-parade-kingston-canberra-176539292
176547212	2019-03-21 01:02:12	2020-03-04	$495,000	no-street-name-provided-lyneham-canberra-176547212
176550792	2019-03-22 00:22:08	2020-02-27	$304,000	65-8-baudinette-circuit-bruce-canberra-176550792
176569216	2019-03-27 00:21:45	2020-05-11	$1,175,000	19-de-chair-street-deakin-canberra-176569216
176574316	2019-03-27 22:00:36	2000-01-01	By Negotiation	2-15-lumeah-street-narrabundah-canberra-176574316
176575611	2019-03-28 05:02:10	2020-03-11	$285,000	36-148-flemington-road-harrison-canberra-176575611
176580449	2019-03-29 02:22:52	2020-03-14	$1,700,000	50-savige-street-campbell-canberra-176580449
176590427	2019-04-03 23:11:06	2020-02-24	$989,151	2-9-leslie-street-ainslie-canberra-176590427
176626962	2019-04-09 14:00:00	2020-03-02	By Negotiation	21-volpato-street-forde-canberra-176626962
178365825	2019-04-09 20:07:25		$320,000	istra-one-bedroom-multi-purpose-room-greenway-act-2900?tid=178365825
176632008	2019-04-11 01:42:53	2020-02-19	$1,049,000	1-florina-place-hawker-canberra-176632008
176647327	2019-04-16 04:50:36		$350,000	unit-14-10-randell-street-dickson-act-2602
176654437	2019-04-17 04:42:06	2020-03-11	$230,000	8c-124-ross-smith-crescent-scullin-canberra-176654437
