ListingId	ListingDate	SaleDate	SaleAmount	Slug
179067098	2021-01-03 20:12:00	2000-01-01	By Negotiation	level-c-unit-71-116-easty-street-phillip-act-2606
179068363	2021-01-04 02:02:07	2000-01-01	Auction - $956,000	76-mcclelland-avenue-nicholls-act-2913
179072732	2021-01-04 23:22:06	2000-01-01	Auction - $682,000	90-barramundi-street-throsby-act-2914
179073616	2021-01-05 00:32:04	2000-01-01	$540,100	unit-36-96-arthur-blakeley-way-coombs-act-2611
179074056	2021-01-05 01:12:00	2000-01-01	Auction - $750,000	37-broadbent-street-scullin-act-2614
179077480	2021-01-05 22:00:19	2000-01-01	Auction - $650,000	unit-501-2-marcus-clarke-street-city-act-2601
179077799	2021-01-05 22:00:30	2000-01-01	Auction - $475,000	unit-50-20-bindubi-street-macquarie-act-2614
179078576	2021-01-06 01:50:28	2000-01-01	Auction - $610,000	6-wallis-place-spence-act-2615
179078389	2021-01-06 01:52:16	2000-01-01	$611,111	unit-11-27-berrigan-crescent-o-connor-act-2602
179079047	2021-01-06 02:52:02	2000-01-01	$1,110,000	3-roseworthy-crescent-farrer-act-2607
179079253	2021-01-06 04:02:01	2000-01-01	By Negotiation	2-dannevig-place-florey-act-2615
179079114	2021-01-06 04:02:02	2000-01-01	Auction - $791,000	9-jerome-place-gordon-act-2906
179080787	2021-01-06 06:42:06	2000-01-01	By Negotiation	unit-3-10-ovens-street-griffith-act-2603
179082036	2021-01-06 15:52:00	2000-01-01	By Negotiation	6-giltinan-place-holt-act-2615
179081295	2021-01-06 18:52:00	2000-01-01	Auction	unit-33-1-bon-scott-crescent-moncrieff-act-2914
179081821	2021-01-06 18:52:17	2000-01-01	Auction	unit-9-15-fitzroy-street-forrest-act-2603
179081333	2021-01-06 18:52:30	2000-01-01	Auction	6-hallen-close-swinger-hill-act-2606?tid=179081333
179081938	2021-01-06 19:02:01	2000-01-01	Auction	3-stobie-place-monash-act-2904
179081641	2021-01-06 20:12:00	2000-01-01	$877,000	16-gascoyne-circuit-kaleen-act-2617
179081642	2021-01-06 20:22:00	2000-01-01	Auction - Sold Prior - $711,000	37-weathers-street-gowrie-act-2904
179081643	2021-01-06 20:42:00	2000-01-01	Auction	unit-30-50-wilkins-street-mawson-act-2607
179081887	2021-01-06 22:22:10	2000-01-01	Auction	22-willoughby-crescent-gilmore-act-2905
179081561	2021-01-06 22:22:29	2000-01-01	Auction - $770,000	unit-20-34-leahy-close-narrabundah-act-2604
179081901	2021-01-06 22:42:02	2000-01-01	Auction - Sold Prior - $1,050,000	25-ulysses-circuit-wright-act-2611
179081960	2021-01-06 22:42:36	2000-01-01	Auction	22-alanvale-street-harrison-act-2914
179081802	2021-01-07 00:02:06	2000-01-01	Auction - $1,285,000	30-jalanga-crescent-aranda-act-2614
179082239	2021-01-07 00:52:03	2000-01-01	Auction - $1,165,000	10-calvert-street-ainslie-act-2602
179082637	2021-01-07 02:02:03	2000-01-01	Auction	48-brownless-street-macgregor-act-2615
179083449	2021-01-07 04:02:06	2000-01-01	Auction	unit-1-65-barada-crescent-aranda-act-2614
179083415	2021-01-07 05:02:06	2000-01-01	Auction	23-florey-drive-macgregor-act-2615
179085252	2021-01-07 13:12:01	2000-01-01	Auction	unit-1-1-john-young-crescent-greenway-act-2900
179085413	2021-01-07 23:22:02	2000-01-01	Auction - $960,000	45-helby-street-harrison-act-2914
179089255	2021-01-08 01:46:12	2000-01-01	$449,900	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179089255
179099531	2021-01-08 01:46:15	2000-01-01	$594,900	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179099531
179104669	2021-01-08 01:46:17	2000-01-01	$430,000	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179104669
179101648	2021-01-08 01:46:19	2000-01-01	$369,000	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179101648
179101610	2021-01-08 01:46:22	2000-01-01	$369,000	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179101610
179101649	2021-01-08 01:46:24	2000-01-01	$399,000	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179101649
179104668	2021-01-08 01:46:37	2000-01-01	$689,900	molonglo-falls-exchange-on-1-with-the-balance-due-in-feb-2021-coombs-act-2611?tid=179104668
179104673	2021-01-08 01:55:27	2000-01-01	$480,000	122-macarthur-avenue-turner-act-2612?tid=179104673
179101651	2021-01-08 01:55:29	2000-01-01	$695,000	122-macarthur-avenue-turner-act-2612?tid=179101651
179104750	2021-01-08 01:55:31	2000-01-01	$695,000	122-macarthur-avenue-turner-act-2612?tid=179104750
179104776	2021-01-08 01:55:33	2000-01-01	$695,000	122-macarthur-avenue-turner-act-2612?tid=179104776
179099534	2021-01-08 01:55:35	2000-01-01	$485,000	122-macarthur-avenue-turner-act-2612?tid=179099534
179101612	2021-01-08 01:55:46	2000-01-01	$585,000	122-macarthur-avenue-turner-act-2612?tid=179101612
179099533	2021-01-08 01:55:50	2000-01-01	$480,000	122-macarthur-avenue-turner-act-2612?tid=179099533
179088668	2021-01-08 08:12:01	2000-01-01	Auction	2-prendergast-street-curtin-act-2605
